,name,rank,reviews,stars,review_page,cat,print
583,"Fire TV Stick 4K Max streaming device, Wi-Fi 6, Alexa Voice Remote (includes TV controls)",#8,"69,684",4.7 out of 5 stars,https://www.amazon.com/product-reviews/B08MQZXN1X/ref=zg_bs_electronics_cr_sccl_8/146-4176987-7531425?pd_rd_i=B08MQZXN1X,Electronics,$54.99
584,"Amazon Smart Plug, for home automation, Works with Alexa - A Certified for Humans Device",#9,"508,565",4.7 out of 5 stars,https://www.amazon.com/product-reviews/B07KTYJ769/ref=zg_bs_electronics_cr_sccl_9/146-4176987-7531425?pd_rd_i=B07KTYJ769,Electronics,$24.99
585,Fujifilm Instax Mini Instant Film Twin Pack (White),#10,"96,755",4.8 out of 5 stars,https://www.amazon.com/product-reviews/B00EB4ADQW/ref=zg_bs_electronics_cr_sccl_10/146-4176987-7531425?pd_rd_i=B00EB4ADQW,Electronics,$13.98
586,"Blink Video Doorbell (Black) + Mini Camera (Black) with Sync Module 2 | Two-Way Audio, HD Video, Motion and Chime Alerts | Alexa Enabled",#11,"55,172",4.3 out of 5 stars,https://www.amazon.com/product-reviews/B09DFGMQWJ/ref=zg_bs_electronics_cr_sccl_11/146-4176987-7531425?pd_rd_i=B09DFGMQWJ,Electronics,$49.99 - $279.98
587,Roku Streaming Stick 4K 2021 | Streaming Device 4K/HDR/Dolby Vision with Roku Voice Remote and TV Controls,#12,"27,795",4.7 out of 5 stars,https://www.amazon.com/product-reviews/B09BKCDXZC/ref=zg_bs_electronics_cr_sccl_12/146-4176987-7531425?pd_rd_i=B09BKCDXZC,Electronics,$46.49
588,"Echo Dot (4th Gen, 2020 release) | Smart speaker with Alexa | Charcoal",#13,"505,388",4.7 out of 5 stars,https://www.amazon.com/product-reviews/B07XJ8C8F5/ref=zg_bs_electronics_cr_sccl_13/146-4176987-7531425?pd_rd_i=B07XJ8C8F5,Electronics,$39.99
589,"6 Ft Surge Protector Power Strip - 8 Widely Outlets with 4 USB Ports, 3 Side Outlet Extender with 6 Feet Extension Cord, Flat Plug, Wall Mount, Desk USB Charging Station, ETL ,White",#14,"2,053",4.7 out of 5 stars,https://www.amazon.com/product-reviews/B09PDLBFKY/ref=zg_bs_electronics_cr_sccl_14/146-4176987-7531425?pd_rd_i=B09PDLBFKY,Electronics,$15.98
590,"Wyze Cam v3 with Color Night Vision, Wired 1080p HD Indoor/Outdoor Video Camera, 2-Way Audio, Works with Alexa, Google Assistant, and IFTTT",#15,"60,499",4.5 out of 5 stars,https://www.amazon.com/product-reviews/B0B81MP3BX/ref=zg_bs_electronics_cr_sccl_15/146-4176987-7531425?pd_rd_i=B0B81MP3BX,Electronics,$35.98 - $70.96
591,RC280 Replacement Remote Applicable for TCL Roku TV with Netflix Sling Hulu Vudu Key 55UP120 32S4610R 50FS3750 32FS3700 32FS4610R 32S800 32S850 32S3850 48FS3700 55FS3700 65S405 43S405 49S405 40S3800,#16,"62,851",4.5 out of 5 stars,https://www.amazon.com/product-reviews/B078T633Q9/ref=zg_bs_electronics_cr_sccl_16/146-4176987-7531425?pd_rd_i=B078T633Q9,Electronics,$6.97
592,"2021 Apple 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray",#17,"21,219",4.8 out of 5 stars,https://www.amazon.com/product-reviews/B09G9FPHY6/ref=zg_bs_electronics_cr_sccl_17/146-4176987-7531425?pd_rd_i=B09G9FPHY6,Electronics,$299.00
593,"Kindle Paperwhite (8 GB) – Now with a 6.8"" display and adjustable warm light",#18,"12,075",4.7 out of 5 stars,https://www.amazon.com/product-reviews/B08KTZ8249/ref=zg_bs_electronics_cr_sccl_18/146-4176987-7531425?pd_rd_i=B08KTZ8249,Electronics,$139.99
594,"Fire TV Stick Lite with latest Alexa Voice Remote Lite (no TV controls), HD streaming device",#19,"15,667",4.7 out of 5 stars,https://www.amazon.com/product-reviews/B091G4YP57/ref=zg_bs_electronics_cr_sccl_19/146-4176987-7531425?pd_rd_i=B091G4YP57,Electronics,$29.99
595,"Sceptre 24"" Professional Thin 75Hz 1080p LED Monitor 2x HDMI VGA Build-in Speakers, Machine Black (E248W-19203R Series)",#20,"21,566",4.6 out of 5 stars,https://www.amazon.com/product-reviews/B0773ZY26F/ref=zg_bs_electronics_cr_sccl_20/146-4176987-7531425?pd_rd_i=B0773ZY26F,Electronics,$103.65
596,"Fujifilm Instax Mini Instant Film, 10 Sheets×5 Pack(Total 50 Shoots) [Bulk Packaging]",#21,"7,618",4.8 out of 5 stars,https://www.amazon.com/product-reviews/B08TZY61DP/ref=zg_bs_electronics_cr_sccl_21/146-4176987-7531425?pd_rd_i=B08TZY61DP,Electronics,$38.43
597,"2021 Apple 10.2-inch iPad (Wi-Fi, 64GB) - Silver",#22,"21,219",4.8 out of 5 stars,https://www.amazon.com/product-reviews/B09G9CJM1Z/ref=zg_bs_electronics_cr_sccl_22/146-4176987-7531425?pd_rd_i=B09G9CJM1Z,Electronics,$299.00
598,"Roku Express 4K+ 2021 | Streaming Media Player HD/4K/HDR with Smooth Wireless Streaming and Roku Voice Remote with TV Controls, Includes Premium HDMI® Cable",#23,"33,976",4.7 out of 5 stars,https://www.amazon.com/product-reviews/B0916TKFF2/ref=zg_bs_electronics_cr_sccl_23/146-4176987-7531425?pd_rd_i=B0916TKFF2,Electronics,$39.64
599,"LOUTOC Universal TV Remote for Roku TV,Replacement for TCL Roku/Hisense Roku/Sharp Roku TV,TV Remote with Netflix Disney+/Hulu/Prime Video Buttons【Not for Roku Stick and Box】",#24,"9,149",4.4 out of 5 stars,https://www.amazon.com/product-reviews/B09GY8YCS2/ref=zg_bs_electronics_cr_sccl_24/146-4176987-7531425?pd_rd_i=B09GY8YCS2,Electronics,$10.99
600,"Surge Protector Power Strip, HANYCONY 8 Wide Outlets with 4 USB Charging Ports, 3 Side Outlet Extender with 5Ft Braided Extension Cord, Flat Plug, Wall Mount, Desk Charging Station for Home Office ETL",#25,"11,267",4.8 out of 5 stars,https://www.amazon.com/product-reviews/B092J8LPWR/ref=zg_bs_electronics_cr_sccl_25/146-4176987-7531425?pd_rd_i=B092J8LPWR,Electronics,$19.99
601,"USB Wall Charger, Surge Protector, QINLIANF 5 Outlet Extender with 4 USB Charging Ports ( 4.8A Total) 3-Sided 1680J Power Strip Multi Plug Outlets Wall Adapter Spaced for Home Travel Office (3U1C)",#26,"20,571",4.7 out of 5 stars,https://www.amazon.com/product-reviews/B08R6S1M1K/ref=zg_bs_electronics_cr_sccl_26/146-4176987-7531425?pd_rd_i=B08R6S1M1K,Electronics,$15.97
602,"Kasa Indoor Pan/Tilt Smart Security Camera, 1080p HD Dog Camera 2.4GHz with Night Vision, Motion Detection for Baby and Pet Monitor, Cloud & SD Card Storage, Works with Alexa & Google Home (EC70)",#27,"10,186",4.4 out of 5 stars,https://www.amazon.com/product-reviews/B09P5X2L7X/ref=zg_bs_electronics_cr_sccl_27/146-4176987-7531425?pd_rd_i=B09P5X2L7X,Electronics,$29.99 - $61.99
